word	adj.all	adj.pert	adv.all	noun.Tops	noun.act	noun.animal	noun.artifact	noun.attribute	noun.body	noun.cognition	noun.communication	noun.event	noun.feeling	noun.food	noun.group	noun.location	noun.motive	noun.object	noun.person	noun.phenomenon	noun.plant	noun.possession	noun.process	noun.quantity	noun.relation	noun.shape	noun.state	noun.substance	noun.time	verb.body	verb.change	verb.cognition	verb.communication	verb.competition	verb.consumption	verb.contact	verb.creation	verb.emotion	verb.motion	verb.perception	verb.possession	verb.social	verb.stative	verb.weather
silk							1																					1																
unhappy	1																																											
activation					1																		1																					
amend																																	1											
assess																																1									1			
coastline																1																												
epic	1	1																																										
geological		1																																										
liability								1																			1																	
pottery					1		1																																					
suffix											1																									1								
attain																																												
best-known	1																																											
brake							1								1						1																		1					
bubble							1			1								1													1								1					
ferry					1		1																																1					
honorary	1																																											
innocent	1																		1																									
leap					1			1				1																			1													
legendary	1																																											
patch							1				1																				1					1					1			
progression															1																													
terrorism					1																																							
ambient	1																																											
aperture							1											1																										
beside																																												
drain					1		1																								1				1				1					
earnings																																												
evaluate																																1												
famously			1																																									
generalize																														1			1											
humourous																																												
resistivity																																												
importantly			1																																									
intrinsic	1																																											
kitchen							1																																					
manga																																												
obstacle							1			1																																		
prohibition					1						1																		1															
spermatozoon																																												
toxicity																								1																				
abortion					1																																							
captivity																											1																	
corrupt	1																														1											1		
editorial		1																																										
limestone																												1																
marker							1				1																																	
posthumously			1																																									
uranologist																																												
boot					1		1																							1						1								
dawn												1																	1		1												1	
dietary		1												1																														
embark																															1								1					
fatty	1																																											
ghost										1									1																		1		1					
hammer					1		1																													1								
hurt	1																													1	1							1		1				
inference										1																																		
instantly																																												
womb-to-tomb																																												
lightning												1								1																								
neural		1																																										
physiological		1																																										
premise											1																					1	1											
recur																															1		1											
ruin							1					1															1				1					1						1		
runway							1																																					
treason					1			1																																				
assure																																	1											
blast					1							1																			1			1			1		1	1				
butter														1					1																	1								
ceiling							1	1			1																																	
comparative		1									1																																	
conflicting	1																																											
devil											1								1																		1							
diagnostic	1	1																																										
differentiate																															1	1												
disciple																			1																									
inherently			1																																									
mercury								1										1	1									1																
outline										1	1					1																												
solvent	1																											1																
suburban		1																																										
unofficial	1																																											
vertically			1																																									
ballet					1						1																																	
conviction					1					1																																		
outlaw																																										1		
destructive	1																																											
hate													1																									1						
kidney									1																																			
quit																																												
real-time		1																																										
recipient																			1																									
referenced	1																																											
senator																			1																									
submerge																																				1			1					
vibration					1			1																																				
aggregate	1														1													1								1							1	
alloy																												1			1													
blank	1						1																																			1		
contamination					1																						1																	
hunter							1												1																									
outlet																																												
sporadically			1																																									
precious	1		1																																									
backup							1																1																					
reckon																																1												
disliked	1																																											
feminine	1										1																																	
fortify																															1					1								
fuselage							1																																					
illusion										1																																		
mathematician																			1																									
nest							1								1	1		1																		1							1	
penetrate																																1				1			1					
saint																			1																									
storyline											1																																	
transistor							1																																					
yeast																					1							1																
accumulation					1																	1																						
anonymous	1																																											
conceptual	1																																											
deposition					1						1												1																					
folklore										1																																		
secretor																																												
glory								1																			1						1											
holder							1												1																									
indicator							1				1																	1																
pale	1																													1														
amass																																												
analogy					1					1																																		
anime																												1																
annexation					1																																							
auction					1																																				1			
complementary	1																																											
investiture																																												
drift							1			1								1		1			1								1					1			1				1	
floppy	1																																											
maternal	1	1																																										
metabolic	1	1																																										
numeral		1									1																																	
organizational		1																																										
presume																														1			1											
revelation										1	1																																	
spectacular	1										1																																	
suspicion								1																			1																	
anatomy					1					1																																		
circulate																																	1						1					
deaf	1														1																													
embrace					1																						1									1							1	
interim	1																												1															
mud											1																	1								1								
polymer																												1																
vertex										1						1																												
athletic	1	1																																										
behave																																										1		
commentator																			1																									
impairment					1																																							
download																																									1			
gradient								1																	1																			
infinitely			1																																									
junction					1		1																				1																	
palm									1												1			1																				
semantic		1																																										
spectator																			1																									
subsidy																						1																						
sustainable		1																																										
bull					1	1					1								1												1										1	1		
certification					1																																							
chloride																												1																
chorus												1			1																		1											
cocaine							1																																					
confrontation					1						1																																	
deviation					1			1		1		1																																
energetic	1																																											
fitness								1																			1																	
queerness																																												
incompatible	1																																											
mineworker																																												
opium							1																																					
phosphate														1														1																
platinum																												1																
rape					1																1															1						1		
compliance																																												
continuation																																												
graphical																																												
inconsistent	1																																											
knot						1	1								1											1		1								1	1							
mistaken																																												
negatively			1																																									
oscillator							1																																					
pirate							1												1																						1			
pretty	1																																											
treatise											1																																	
withstand																																												
attachment					1		1				1		1																															
bison						1																																						
carriage							1	1																																				
contradiction											1														1																			
cruiser							1																																					
dairy							1																																					
economist																			1																									
enlist																																		1										
feast												1																							1									
interpreter											1								1																									
Jersey																																												
quest					1																												1						1		1			
reasonably			1																																									
reinforcement											1																																	
slang											1																						1											
trunk							1														1																							
unlimited	1																																											
wise	1							1											1																									
besides			1																																									
bold	1																																											
depress																															1							1	1					
dine																																			1									
expatriate																															1											1		
informally			1																																									
panic													1														1											1						
recession					1										1												1																	
snake						1	1											1	1																				1				1	
terror					1														1																									
torsion																				1																								
continuum																													1															
drummer																			1																									
LE																																												
memoir											1																																	
showery	1																																											
submission					1						1																1																	
communal	1	1																																										
deliberate	1																																											
feudalistic																																												
leisure					1																								1															
null	1																																											
popularize																															1		1											
referee																			1														1	1										
retrieve																																				1								
satire																																												
sibling																			1																									
workforce																																												
assassinate																																	1									1		
capitalist		1																	1																									
consolidate																															1													
embassy							1								1																													
helpful	1																																											
offshore	1		1																																									
procession					1																																							
specialty																																												
tire							1																							1														
Acre																																												
ancestral	1	1																																										
cardinal	1					1		1											1																									
cockpit							1																																					
comfort					1								1														1			1								1						
horizontally			1																																									
iconic		1																																										
incline																																						1	1	1				
jewelry							1																																					
methodology										1																																		
sanction					1						1																						1									1		
suppression					1																		1																					
theorizer																																												
treasure															1							1																						
triangular	1																																											
vague																																												
wherein																																												
anyway																																												
bent	1									1						1					1																							
cooperative	1				1										1																													
deputy																			1																									
disposal					1		1	1																																				
indorse																																												
overview											1																																	
perceive																																1								1				
please			1																																			1						
screenplay											1																																	
shuttle							1																																1					
traverse																																	1						1					
upwards																																												
useable	1																																											
veto					1			1																																		1		
balloon							1																								1								1					
coating							1	1																																				
confront																																	1	1									1	
domination					1																						1																	
fake	1						1																																					
hell					1					1		1				1																												
heroic	1	1																																										
jaw							1		1																																			
precursor																			1									1																
quantitative	1	1																																										
reconciliation					1																																							
resemblance								1																																				
satisfaction					1								1									1																						
squadron															1																													
unwilling	1																																											
bean														1							1															1								
captive	1																		1																									
gameplay																																												
healthcare					1																																							
homage																																												
knock					1					1		1																					1			1								
migrator						1																																						
millennium																													1															
patronage					1																														1									
proud	1																																											
willy-nilly			1																																									
reservoir							1											1						1																				
reside																																											1	
tag					1						1																						1			1	1							
tap					1		1																													1			1	1	1			
tear					1				1																					1						1			1					
yes											1																																	
alert	1										1																1																	
convex	1																																											
deed											1																																	
denounce																																	1											
endemic	1																				1						1																	
finale					1						1																																	
focal	1	1																																										
freshwater																																												
knee							1		1																																			
lord																			1																							1		
respiratory		1																																										
trio											1				1																													
unreliable	1																																											
visibility								1																			1																	
ballistic		1																																										
boss	1																		1																									
cone							1		1												1					1										1								
critique																																												
deficiency																																												
devastate																															1													
gang							1								1																			1										
highlight								1																	1					1														
intervene																															1											1	1	
metaphor											1																																	
needle							1																										1			1								
plunger							1																																					
riot					1																																					1		
sediment																		1																					1					
soluble	1																																											
straightforward	1																																											
vicinity																1																												
violate																																				1							1	
accommodation					1		1			1	1																																	
adjustment					1							1																																
eighteen	1																							1																				
equator																1										1																		
exponential		1																							1																			
hierarchical	1																																											
manipulate																														1						1		1				1		
neglect																											1					1												
outright	1		1																																									
parity								1		1															1		1																	
recreation																																												
verify																																1	1											
cassette							1																																					
coral	1					1		1						1														1																
distress					1								1														1											1						
etymology										1	1																																	
evacuate																														1	1								1					
exclusion																											1																	
hostility								1					1														1																	
hydraulic		1																																										
hypothetical										1																																		
institutional	1	1																																										
oak																					1																							
oneself																																												
pant												1																		1			1											
plaque									1																																			
psychologist																			1																									
underway																																												
bloody	1		1																												1													
catalogue																																1					1							
fermentation																																												
icon							1				1																																	
kit						1	1																																					
pad						1	1														1							1			1					1								
phonetic		1																																										
rite					1																																							
salmon						1		1						1				1																										
surpass																																		1										
terminate																																												
wherever			1																																									
abbreviation					1						1																																	
aerodynamic		1																																										
attacker																			1																									
certainty								1		1																																		
conform																																											1	
convincing	1																																											
derivation					1					1						1							1																					
desperate	1																		1																									
eager	1																																											
generous	1																																											
globally			1																																									
immunity								1																			1																	
inject																														1	1				1	1								
joy										1			1																															
malaria																											1																	
nationality															1												1																	
resurrection					1							1																																
shed							1																							1						1								
sink							1																1																1					
solitary																																												
sorted	1																																											
spark																		1	1					1																				1
useless	1																																											
all-time	1																																											
archaic	1																																											
bare	1																																			1								
batch															1									1												1								
contraction					1						1																																	
diffraction																				1																								
ED																																												
peril																																												
expectancy																																												
lady																			1																									
objection					1						1																																	
overthrow					1																																					1		
pigment																												1			1													
pioneer																			1													1					1							
pitcher					1		1												1		1			1																				
residual		1																				1																						
synthesize																																1												
trajectory																				1																								
trivial	1																																											
wouldn't																																												
aquatic	1	1																			1																							
conditional	1																																											
equivalence								1																																				
expenditure																																												
guitarist																			1																									
indefinitely			1																																									
miniature	1						1																																					
pray																																	1											
prophet																			1																									
scan					1		1																										1			1			1	1			1	
smart	1																										1																	
spy																			1														1							1				
subsidiary																																												
supplant																																										1		
affinity								1												1					1																			
decoration					1		1				1																																	
demographic		1								1																																		
enthusiastic	1																																											
experimentation																																												
hunger								1																			1													1				
origination																																												
incorrectly			1																																									
inscribe																																	1			1								
lion						1													1																									
mercy					1																						1																	
merit								1																																				
morale																											1																	
olive	1							1						1							1																							
painful	1																																											
psychiatrical																																												
sometime			1																																									
viewpoint																																												
assertion											1																																	
asteroid	1																	1																										
blockade					1		1																											1										
casino					1		1																																					
ecosystem															1																													
pyrotechnic	1	1																																										
gentle	1																																			1								
physicist																			1																									
streak								1				1			1																								1					
subspecies															1																													
sympathy										1			1												1																			
throat						1	1		1																																			
apple														1							1																							
ash																					1							1			1													
cane							1														1															1								
coconut														1							1																							
elastic	1						1																																					
embryo						1															1																							
escort					1														1																				1					
facial		1			1				1																																			
hatred																																												
inversion					1						1	1								1			1				1																	
prolific	1																																											
sentiment													1																															
synonymous	1																																											
worry													1																							1		1						
alignment					1			1																																				
anthropology										1																																		
attest																																	1											
backbone							1	1																																				
coherent	1																																											
devotion					1								1																															
fragile	1																																											
graduation					1						1																																	
inefficient	1																																											
influx																																												
luck																				1																								
onward																																												
persist																																											1	
predominant																																												
prominently			1																																									
skeleton							1					1												1																				
stellar		1																																										
armored	1																																											
besiege																																	1	1				1						
cancellation					1						1																																	
compel																																										1	1	
cow						1													1																									
deteriorate																															1													
directory											1																																	
fateful	1																																											
eject																																				1			1					
evaporation																																												
favourable																																												
gel																												1			1													
lap					1		1		1																		1								1					1			1	
nonentity																																												
stimulus																																												
trillion	1																							1																				
alcoholic	1																		1																									
legitimacy								1																																				
ceramic		1					1																																					
inaugurate																															1											1		
induct																																	1									1		
insertion					1																																							
prevalence								1																	1																			
antiquity							1																						1															
arcade							1																																					
contingent	1														1																													
dispatch					1			1			1																									1			1			1		
downstream	1																																											
endure																																												
granite								1																				1																
intercept										1																										1								
lesbian	1																		1																									
pointer						1	1																																					
recursive	1																																											
conservativist																																												
stiff	1		1																1																									
decomposition										1													1				1																	
fluctuation								1				1																																
fog																				1							1																	
forum							1								1																													
imagine																																					1							
listener																																												
modernization					1						1																																	
obey																																										1		
optimization					1																																							
pig							1																																				1	
popularly			1																																									
relax																														1	1											1		
unwanted	1																																											
breakthrough					1																																							
deadly	1		1																																									
dignity								1																			1																	
donation																																												
dragon						1													1																									
ecology										1																	1																	
ethanol																																												
expire																																												
followup																																												
glacier																		1																										
gospel										1	1																																	
gramme																																												
larva						1																																						
maximize																															1													
metabolism																							1																					
sermon											1																																	
premier	1																																				1							
promptly			1																																									
propellor																																												
reunion					1										1																													
ridge							1		1									1								1					1					1	1						1	
squad															1																													
subdivide																															1													
supplier																			1																									
suspicious																																												
upcoming																																												
volatile	1																											1																
workshop					1		1																																					
acidic	1																																											
conscience								1					1				1																											
cylindrical	1																																											
disagree																																	1										1	
fungus																					1																							
impractical	1																																											
microscopic	1	1																																										
mold							1	1						1							1							1			1					1								
monastic																																												
ourselves																																												
potato														1							1																							
recorder							1												1																									
weld							1												1												1					1								
archive							1																													1								
christen																																												
fairy																			1																									
pour																																							1		1			1
provoke																																	1				1							
rim							1																			1													1		1		1	
somehow			1																																									
sue																			1																									
you're																																												
advertizing																																												
causal	1																																											
communion					1						1				1																													
crystalline	1																																											
demise																																									1			
encompass																																												
garrison							1								1				1															1										
hormone									1																																			
intimate	1																																1											
invalid	1																		1																							1		
linguistics										1																																		
morphology										1																																		
Orthodox																																												
promotional		1																																										
radically			1																																									
simulate																																					1							
tangent																									1	1																		
there's																																												
abolition					1																																							
antibiotic		1					1																																					
breath					1															1								1	1															
brigade															1																			1										
constrain																																												
deprive																															1										1			
duo																																												
enslave																																										1		
epidemic	1											1																																
eruption												1															1																	
ethnicity								1																																				
expulsion					1																																							
motherland																																												
lever							1																																					
remunerative																																												
pledge														1					1			1											1								1			
pork														1																														
prospect																											1					1								1				
racism					1					1																																		
reinforce																															1		1											
remnant																																												
slogan																																												
snowfall																																												
spaced	1																																											
wash					1		1											1												1	1					1			1				1	
won't																																												
anode							1																																					
patrician	1																		1																									
chase							1												1																	1			1			1		
confirmation					1					1	1																																	
confuse																																1						1						
cooperate																																												
diplomacy											1																																	
thwarted																																												
discretion								1		1																	1																	
drastically			1																																									
electrically			1																																									
totality								1																																				
explorer																			1																									
fin						1	1																																1		1			
flank						1								1	1											1																	1	
frustrate																																												
humid	1																																											
microprocessor							1																																					
mislead																																							1					
motive	1																																											
preside																																										1		
rap											1	1																					1			1	1							
recognizable	1																																											
republican	1	1																1	1																									
truce																																												
authoritative	1																																											
casual	1																																											
coincide																																											1	
commonplace	1																																											
delta											1							1								1																		
descriptive	1																																											
dig					1			1								1																				1			1	1				
emigrate																															1													
localize																																										1	1	
parachute							1																																					
pedal		1					1																														1							
pit							1											1								1					1			1										
quartz																												1																
rid																																									1			
stimulate																														1	1							1		1				
subscription					1						1											1																						
additive	1						1																																					
administrator																			1																									
ambition								1					1																									1						
cake							1							1																														
congestion																											1																	
daylight																				1																								
efficacy								1																																				
font											1																																	
fortification					1		1			1																																		
inventory					1						1											1																				1		
linguist																			1																									
teller																			1																									
observable																																												
packaging					1		1																																					
pendulum							1																																					
queue									1		1				1																													
rotary		1																																										
skating					1																																							
theoretically			1																																									
therapeutic		1																																										
throughput							1																																					
abstraction				1	1		1			1																																		
academy							1								1																													
accomplish																																												
alarm							1				1		1																				1											
celebrity																			1																									
configured	1																																											
consult																																	1											
contaminated	1																																											
cortex									1																																			
day-to-day																																												
disguise					1		1	1																																1				
fence							1												1															1		1					1			
honest	1																																											
hook					1		1																			1							1	1		1					1			
impending																																												
inventor																			1																									
lease											1											1							1												1			
mathematically			1																																									
supervise																																												
photographic	1	1																																										
sack					1		1							1										1												1					1			
setup								1																																				
shade							1	1																			1				1					1	1							
skiing					1																																							
swear																																	1											
unfinished	1																																											
unsuccessfully			1																																									
abnormal	1																																											
bark							1					1									1										1		1			1								
bodily	1	1	1																																									
endurance								1																																				
exceptionally			1																																									
fibre																																												
landowner																			1																									
monster						1													1																									
multiply			1																												1	1												
nowadays			1																																									
overnight			1																																									
ratification											1																																	
thieving	1																																											
atop			1																																									
bead							1																													1	1						1	
canvas							1																				1									1								
catalyst																			1									1																
cypher																																												
counsel																																												
fuse							1																								1			1										
hazard							1																				1																	
implicit	1																																											
infancy																											1		1															
medication					1																																							
proponent																																												
subscriber																			1																									
visually			1																																									
void	1																									1					1													
warmness																																												
blessing					1																						1																	
diagonal	1														1											1																		
discourage																																						1						
fade					1																										1													
fry																			1												1												1	
locomotive		1					1																																					
memorable	1																																											
minus	1																																											
nickel																						1						1								1								
notorious																																												
pontificate																																	1									1		
pleasant	1																																											
rabbi											1								1																									
reed							1												1		1																							
romance		1									1																						1					1						
spacing								1																					1															
thorough	1																																											
traveller																																												
uniformly			1																																									
adhere																															1					1							1	
said																																												
angel																		1	1																									
antibody																												1																
bat					1	1	1																							1						1								
schoolroom																																												
commemorate																																1												
contempt					1			1			1		1																															
corrosion																							1				1																	
foul	1				1																										1			1										
plumbago																					1																							
greenhouse		1					1																																					
kid						1																						1					1											
modern-day																																												
pollen																					1																							
puzzle							1				1																											1						
rhythmical	1																																											
spinal		1																																										
strand							1			1						1		1																					1					
unto																																												
variously			1																																									
believer																			1																									
bug						1	1																				1																	
categorized	1																																											
convoy					1										1																								1					
unquestionably			1																																									
differentiation					1					1																																		
duel					1																													1										
nanna																			1																									
incapable	1																																											
journalism					1						1																																	
lexical		1																																										
lip						1			1												1																							
metaphysical	1	1																																										
mystical																																												
negligible	1																																											
paragraph											1																										1					1		
pseudonym											1																																	
qualification					1			1																																				
taxi																																							1					
transitional		1																																										
verdict					1																																							
